Time (s),Pump 1 (uL/min),Pump 2 (uL/min)
59.33333096,354.5249587,445.4750413
59.41666429,354.7320691,445.2679309
59.49999762,354.9397314,445.0602686
59.58333095,355.1479439,444.8520561
59.66666428,355.3567034,444.6432966
59.74999761,355.5660072,444.4339928
59.83333094,355.7758531,444.2241469
59.91666427,355.9862388,444.0137612
59.9999976,356.1971612,443.8028388
60.08333093,356.4086177,443.5913823
60.16666426,356.6206063,443.3793937
60.24999759,356.8331236,443.1668764
60.33333092,357.0461678,442.9538322
60.41666425,357.2597361,442.7402639
60.49999758,357.4738255,442.5261745
60.58333091,357.688434,442.311566
60.66666424,357.9035583,442.0964417
60.74999757,358.1191964,441.8808036
60.8333309,358.3353452,441.6646548
60.91666423,358.552002,441.447998
60.99999756,358.7691646,441.2308354
61.08333089,358.9868303,441.0131697
61.16666422,359.204996,440.795004
61.24999755,359.4236595,440.5763405
61.33333088,359.6428179,440.3571821
61.41666421,359.8624687,440.1375313
61.49999754,360.0826092,439.9173908
61.58333087,360.3032367,439.6967633
61.6666642,360.524348,439.475652
61.74999753,360.7459413,439.2540587
61.83333086,360.9680131,439.0319869
61.91666419,361.1905612,438.8094388
61.99999752,361.4135827,438.5864173
62.08333085,361.6370751,438.3629249
62.16666418,361.8610353,438.1389647
62.24999751,362.0854604,437.9145396
62.33333084,362.3103484,437.6896516
62.41666417,362.5356959,437.4643041
62.4999975,362.7615005,437.2384995
62.58333083,362.9877597,437.0122403
62.66666416,363.2144701,436.7855299
62.74999749,363.441629,436.558371
62.83333082,363.669234,436.330766
62.91666415,363.8972822,436.1027178
62.99999748,364.1257711,435.8742289
63.08333081,364.3546973,435.6453027
63.16666414,364.5840586,435.4159414
63.24999747,364.8138516,435.1861484
63.3333308,365.0440739,434.9559261
63.41666413,365.2747227,434.7252773
63.49999746,365.5057948,434.4942052
63.58333079,365.7372881,434.2627119
63.66666412,365.9691988,434.0308012
63.74999745,366.2015254,433.7984746
63.83333078,366.4342636,433.5657364
63.91666411,366.6674118,433.3325882
63.99999744,366.9009663,433.0990337
64.08333077,367.1349244,432.8650756
64.1666641,367.3692835,432.6307165
64.24999743,367.6040409,432.3959591
64.33333076,367.8391934,432.1608066
64.41666409,368.0747379,431.9252621
64.49999742,368.3106722,431.6893278
64.58333075,368.5469931,431.4530069
64.66666408,368.7836975,431.2163025
64.74999741,369.0207827,430.9792173
64.83333074,369.2582455,430.7417545
64.91666407,369.4960838,430.5039162
